Evaluating distance threshold  0.00010 1 1Evaluating distance threshold  0.05000 1 1Evaluating distance threshold  0.05840 1 1Evaluating distance threshold  0.05970 1 1Evaluating distance threshold  0.06250 1 1Evaluating distance threshold  0.06340 1 1Evaluating distance threshold  0.06540 1 1Evaluating distance threshold  0.07150 1 1Evaluating distance threshold  0.07370 1 1Evaluating distance threshold  0.07800 1 1Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score	Singletons
0.0001	2	1	1	2	0	0	3
0.05	2	2	1	2	0	0	3
0.0584	3	3	1	3	0	0	2
0.0597	3	4	1	3	0	1.5	2
0.0625	4	5	1	4	0	1.20886	1
0.0634	5	6	1	5	0	0.723635	0
0.0654	5	7	1	5	0	0.495293	0
0.0715	5	8	1	5	0	-0.195744	0
0.0737	5	9	1	5	0	-0.732048	0
0.078	5	10	1	5	0	0	0
